C0015644	['ET', 'ID', 'LLT', 'MH', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'SY', 'SY', 'ET', 'FN', 'ID', 'PM', 'PT', 'PT', 'PTCS', 'SY', 'PM', 'SY', 'SY', 'FN', 'ET', 'LLT', 'PT', 'SY', 'SY', 'SY', 'SY', 'PT', 'SY', 'PM', 'PN', 'SY', 'SY', 'PM', 'PT', 'SY', 'SY', 'SY']
C0015672	['RT', 'ID', 'LLT', 'SY', 'SY', 'FN', 'FN', 'PT', 'FN', 'PT', 'LLT', 'SY', 'ET', 'SY', 'SY', 'CN', 'DN', 'ET', 'ID', 'LA', 'LLT', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'PTN', 'RT', 'SY', 'SY', 'SY', 'SY', 'SY', 'LLT', 'PT', 'FN', 'ET', 'PT', 'PTN', 'SY', 'SY', 'SY', 'SY', 'LLT', 'SY', 'FN', 'PT', 'SY', 'SY', 'SY', 'SY', 'LLT', 'SY', 'SY', 'ET', 'ET', 'ET', 'ET', 'LLT', 'RT', 'SY', 'SY', 'SY', 'ET', 'LLT', 'SY', 'SY', 'SY']
C0015967	['FN', 'PT', 'LLT', 'PT', 'PT', 'SY', 'ET', 'SY', 'SY', 'ET', 'PT', 'FN', 'FN', 'ET', 'ET', 'CN', 'ET', 'ET', 'ID', 'LLT', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'PTN', 'SD', 'SI', 'SY', 'SY', 'PT', 'PT', 'PT', 'PT', 'SY', 'LLT', 'PT', 'PM', 'SY', 'SY', 'SY', 'SY', 'LLT', 'PTN', 'SY', 'PT', 'PT', 'SY', 'SY', 'SY', 'PT', 'RT', 'SY', 'ID', 'SY', 'SY', 'PT', 'SY', 'FN', 'ET', 'ET', 'LLT', 'ET', 'ET', 'ET', 'ET', 'LLT', 'PT', 'PT', 'PT', 'SY', 'SY', 'SY', 'SY', 'SY', 'LLT', 'SY', 'SY', 'PM', 'SY', 'SY', 'LLT', 'SY', 'SY', 'SY', 'PT', 'PT']
C0015970	['SY', 'SY', 'SY', 'PT', 'SY', 'FN', 'ET', 'SY', 'ET', 'ET', 'HT', 'HT', 'LLT', 'MD', 'MH', 'PN', 'PT', 'PT', 'PT', 'PTN', 'SD', 'SY', 'SY', 'SY', 'PT', 'PT', 'SY', 'SY', 'ET', 'SY', 'SY', 'PT', 'SY', 'PT', 'FN', 'ET', 'LLT', 'PT', 'PTN', 'SY', 'SY', 'PT', 'PM', 'SY', 'PM', 'PT', 'PT']
C0016199	['FN', 'LLT', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'PTN', 'SY', 'PM', 'PT', 'LLT', 'SY', 'FN', 'PT', 'SY', 'PM', 'PT', 'PT', 'PM']
C0016204	['LLT', 'SY', 'SY', 'SY', 'SY', 'SY', 'FN', 'PT', 'ET', 'ET', 'LA', 'LLT', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'PTN', 'SY', 'SY', 'SY', 'FN', 'ET', 'ET', 'LLT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SY', 'SY', 'SY', 'FN', 'SY', 'SY', 'PT', 'LLT', 'SY', 'SY', 'SY', 'FN', 'CN', 'LPDN', 'LPN', 'PT', 'SY', 'SY', 'SY', 'LLT', 'SY', 'SY']
C0016205	['FN', 'PT', 'PN', 'PT', 'PT']
C0016382	['SY', 'SY', 'SY', 'FN', 'PT', 'SY', 'LLT', 'RT', 'SY', 'SY', 'SY', 'SY', 'SY', 'VS', 'LLT', 'PT', 'LLT', 'RT', 'SY', 'ID', 'LA', 'LLT', 'SY', 'SY', 'SY', 'SY', 'SY', 'FN', 'SY', 'SY', 'LLT', 'SY', 'ID', 'LLT', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'SY', 'SY', 'SY', 'PM', 'SY', 'PT', 'LLT', 'SY', 'RT', 'FN', 'FN', 'PT', 'PT']
C0016512	['FN', 'LLT', 'PN', 'PT', 'PT', 'PT', 'PT', 'SY', 'SY', 'PTN', 'SY', 'SY', 'SY', 'PTN', 'LLT', 'SY', 'FN', 'LLT', 'PT', 'SY', 'PT', 'PT']
C0016708	['HT', 'FN', 'PN', 'PT']
C0017650	['FN', 'PT', 'PT', 'LLT', 'FN', 'ET', 'LLT', 'PT', 'PT', 'PT', 'SY', 'ET', 'SY', 'SY', 'MH', 'PT', 'SY', 'PM', 'SY', 'SY', 'PT', 'SY', 'LLT', 'SY', 'PM']
C0017672	['MH', 'PN', 'PT', 'SY', 'SY', 'PM', 'FN', 'FN', 'ET', 'LLT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SY', 'PM', 'FN', 'PT', 'LLT', 'PT', 'PT', 'ET', 'ET', 'SY', 'SY', 'SY', 'SY', 'LLT', 'SY', 'PT', 'SY', 'LLT', 'PT', 'PTN', 'SY', 'SY', 'SY', 'LLT', 'SY', 'SY', 'PT']
C0018520	['FN', 'SY', 'SY', 'LLT', 'PT', 'PT', 'PT', 'PT', 'SY', 'SY', 'PTN', 'PT', 'SY', 'MTH_LLT', 'SY', 'ET', 'LLT', 'MTH_PT', 'SY', 'SY', 'SY', 'LLT', 'LLT', 'PT', 'SY', 'SY', 'FN', 'PT', 'PT', 'LLT', 'SY', 'FN', 'PT', 'SY', 'LLT', 'PT', 'SY', 'PT', 'SY', 'SY', 'PT', 'PM', 'SY', 'ET', 'ET', 'ET', 'ID', 'LLT', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTN', 'RT', 'SY', 'SY', 'SY', 'LLT', 'FN', 'SY', 'PT', 'LLT', 'LLT', 'LLT', 'SY', 'SY', 'SY']
C0018681	['SY', 'ET', 'ET', 'SY', 'SY', 'PM', 'ET', 'ET', 'LLT', 'PT', 'SY', 'SY', 'PM', 'SY', 'ET', 'ET', 'SY', 'PM', 'ET', 'SY', 'PM', 'SY', 'LA', 'SY', 'ET', 'LLT', 'PTN', 'SY', 'SY', 'SY', 'PM', 'SY', 'PT', 'FN', 'FN', 'LLT', 'CN', 'HT', 'ID', 'LA', 'LLT', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'PTN', 'RT', 'SY', 'SY', 'PT', 'CN', 'HG', 'ID', 'LPDN', 'LPN', 'PM', 'PTCS', 'SY', 'SY', 'SY', 'LLT', 'ET', 'SY', 'SY', 'PM', 'PM', 'PT', 'PT', 'PM', 'PM']
C0018834	['SY', 'SY', 'SY', 'SY', 'FN', 'FN', 'SY', 'ET', 'ID', 'LLT', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTN', 'RT', 'SY', 'PM', 'ET', 'ET', 'LLT', 'PT', 'SY', 'SY', 'SY', 'SY', 'PT']
