C0000052	['1,4-alpha-Glucan Branching Enzyme']
C0010290	['Creatine Kinase MB Isoenzyme']
C0010291	['Creatine Kinase, MM Form']
C0010294	['creatinine']
C0010295	[]
C0010351	[]
C0010369	[]
C0010371	[]
C0010374	[]
C0010375	[]
C0010377	['Crotoxin']
C0010378	[]
C0010379	[]
C0010404	['Cryoglobulins']
C0010422	[]
C0010434	[]
C0010461	['Cu-Zn Superoxide Dismutase']
C0010522	[]
C0010531	['Cyclic AMP-Dependent Protein Kinases']
C0010536	['Cyclic GMP-Dependent Protein Kinases']
C0010560	['cyclofenil']
C0010594	['Cyclosporins']
C0010608	[]
C0010640	['Cystathionine']
C0010641	['Cystathionine beta-Synthase']
C0010642	['Cysteine Desulfhydrase']
C0010644	['Cystatin A']
C0010652	[]
C0010654	['cysteine']
C0010656	['caspase']
C0010658	['Cysteine Proteinase Inhibitors']
C0010659	[]
C0010660	[]
C0010661	['Cysteine Endopeptidases']
C0010662	['Cysteine Synthase']
C0010663	[]
C0010665	[]
C0010682	['cystine']
C0010723	['Cytidine Deaminase']
C0010724	['Cytidine Diphosphate']
C0010726	[]
C0010731	[]
C0010737	[]
C0010738	[]
C0010739	[]
C0010744	['Cytochromes b']
C0010746	['Cytochromes b5']
C0010749	['Cytochromes c']
C0010754	["Cytochromes c'"]
C0010755	['Cytochrome c1']
C0010760	['CYTOCHROME C OXIDASE']
C0010762	['Cytochrome P450']
C0010763	['Cytochrome P-450 CYP2E1']
C0010772	[]
C0010796	['Cytochrome c Peroxidase']
C0010797	[]
C0010798	['Cytochromes']
C0010804	['Keratin-13']
C0010805	['Cytokeratin 18']
C0010806	['Keratin-19']
C0010807	['Keratin-4']
C0010808	['Cytokeratin 8']
C0010815	[]
C0010843	['cytosine']
C0010852	['Cytoskeletal Proteins']
C0010868	['Cytotoxin']
C0010895	['D-Amino Acid Dehydrogenase']
C0010906	[]
C0010961	['danazol']
C0011145	['deferoxamine']
C0011176	[]
C0011177	[]
C0011185	['prasterone']
C0011221	['Delta Bilirubin']
C0011228	[]
C0011243	[]
C0011244	['delta-Globins, Human']
C0011353	[]
C0011479	['deoxycholic acid']
C0011486	['Deoxycytidine Kinase']
C0011491	['DCMP Deaminase']
C0011500	[]
C0011513	[]
C0011516	[]
C0011518	[]
C0011519	['Deoxyribonuclease I']
C0011522	['deoxyribonucleases']
C0011523	['Type I site-specific deoxyribonuclease']
C0011524	['Type II site-specific deoxyribonuclease']
C0011525	['Type III site-specific deoxyribonuclease']
C0011527	['Deoxyribonucleoproteins']
C0011530	[]
C0011533	[]
C0011535	['Deoxyuridine']
C0011602	[]
C0011651	[]
C0011696	['Desmin']
C0011699	[]
C0011701	['desmopressin']
C0011702	['Desmosine']
C0011704	[]
C0011707	['desoximetasone']
C0011710	['desoxycorticosterone']
C0011732	[]
C0011748	[]
C0011779	['dexamethasone isonicotinate']
C0011805	[]
C0011824	['dextrothyroxine']
C0011889	[]
C0012145	['dienestrol']
C0012203	['diethylstilbestrol']
C0012214	[]
C0012264	[]
C0012274	['Dihydroorotase']
C0012277	['Dihydroorotate Oxidase']
C0012282	[]
C0012299	[]
C0012311	[]
C0012312	['DIHYDROPTERIDINE REDUCTASE']
C0012314	['Dihydropteroate Synthase']
C0012319	['dihydrotachysterol']
C0012324	['Dihydroxyacetone Phosphate']
C0012328	['Dihydroxycholecalciferols']
C0012343	[]
C0012344	[]
C0012345	[]
C0012391	[]
C0012408	['Dimethylallyltranstransferase']
C0012471	['dinoprost']
C0012472	['dinoprostone']
C0012497	[]
C0012511	[]
C0012515	['Dipeptidyl Peptidases']
C0012524	['Catechol Oxidase']
C0012547	['diphtheria antitoxin']
C0012550	[]
C0012551	['diphtheria toxoid vaccine, inactivated']
C0012559	['Diphtheria-Tetanus-Pertussis Vaccine']
C0012610	[]
C0012854	['DNA']
C0012855	['DNA (Cytosine-5-)-Methyltransferase']
C0012863	['Topoisomerase II']
C0012865	[]
C0012873	['DNA Modification Methylases']
C0012874	['Site-Specific DNA-Methyltransferase (Adenine-Specific)']
C0012875	[]
C0012881	['DNA Nucleotidylexotransferase']
C0012882	[]
C0012883	['DNA Photolyase']
C0012888	['DNA Polymerase I']
C0012889	['DNA Polymerase II']
C0012890	['DNA Polymerase III']
C0012891	[]
C0012892	['DNA-Directed DNA Polymerase']
C0012906	[]
C0012910	[]
C0012920	['DNA Topoisomerases, Type I']
C0012925	[]
C0012929	['DNA, Mitochondrial']
C0012933	['DNA, Ribosomal']
C0012934	[]
C0012940	['DNA-Binding Proteins']
C0012968	['Docosahexaenoic Acids']
C0012990	['Dolichols']
C0012991	[]
C0013023	['Dopa']
C0013030	['dopamine']
C0013032	['Dopamine-beta-monooxygenase']
C0013035	[]
C0013283	[]
C0013340	['dydrogesterone']
C0013352	['Dynein ATPase']
C0013355	['Dynorphins']
C0013433	[]
C0013462	[]
C0013494	[]
C0013495	[]
C0013572	[]
C0013588	[]
C0013662	[]
C0013668	[]
C0013700	[]
C0013703	[]
C0013705	[]
C0013708	['Yolk Proteins']
C0013728	['Eukaryotic Initiation Factor-1']
C0013729	['Eukaryotic Initiation Factor-2']
C0013733	['Eukaryotic Initiation Factor-2, alpha Subunit']
C0013734	[]
C0013735	[]
C0013757	[]
C0013759	[]
C0013877	[]
C0013900	['ellagic acid']
C0013982	[]
C0014019	[]
C0014063	['Myelin Basic Proteins']
C0014106	['Glucan Endo-1,3-beta-D-Glucosidase']
C0014112	[]
C0014114	[]
C0014128	['Endochitinase']
C0014142	[]
