C1332812	[7, 9]
C1332813	[6]
C1332814	[1, 13, 17]
C1332816	[1, 7, 12]
C1332817	[0, 2, 6, 11, 16, 24]
C1332818	[4, 5, 10, 15, 16]
C1332819	[0, 2, 10, 14]
C1332820	[0, 3, 13]
C1332821	[0, 2, 12, 17]
C1332822	[0, 11, 16, 18]
C1332823	[0, 8, 15, 18, 19]
C1332824	[2, 8, 13]
C1332825	[]
C1332826	[5, 10]
C1332828	[7, 8, 13, 14]
C1332829	[5, 11]
C1332830	[7, 8, 13]
C1332838	[2, 3, 4]
C1332858	[]
C1332870	[]
C1332871	[]
C1332924	[]
C1332927	[]
C1333031	[]
C1333075	[]
C1333079	[]
C1333104	[]
C1333135	[]
C1333167	[]
C1333181	[]
C1333183	[]
C1333185	[]
C1333186	[]
C1333187	[1]
C1333188	[]
C1333195	[]
C1333196	[0]
C1333197	[]
C1333199	[]
C1333200	[]
C1333202	[9]
C1333203	[4, 11]
C1333205	[7, 9]
C1333206	[16]
C1333207	[1, 12]
C1333208	[18, 22]
C1333209	[]
C1333210	[21]
C1333212	[]
C1333213	[2, 5, 10, 12]
C1333214	[16]
C1333216	[1, 6, 8]
C1333217	[7, 10]
C1333218	[6, 10, 17]
C1333219	[]
C1333221	[]
C1333223	[14]
C1333225	[2, 22]
C1333226	[]
C1333227	[1, 4, 9, 14, 16, 18]
C1333237	[0]
C1333242	[2, 6, 11]
C1333243	[10]
C1333245	[4, 6, 13]
C1333246	[1]
C1333247	[6, 7, 11, 15]
C1333248	[10]
C1333250	[1, 5, 10]
C1333251	[]
C1333252	[]
C1333253	[2, 6, 7, 11]
C1333254	[2, 6, 11]
C1333255	[2, 13]
C1333256	[11]
C1333257	[3, 15]
C1333258	[9]
C1333314	[5]
C1333327	[11, 18, 23]
C1333329	[]
C1333331	[]
C1333333	[11]
C1333336	[1, 5, 12, 13]
C1333337	[10]
C1333338	[7]
C1333339	[10]
C1333340	[5, 13]
C1333341	[8, 15]
C1333342	[7, 9]
C1333343	[14]
C1333347	[]
C1333348	[]
C1333349	[]
C1333350	[4, 9]
C1333351	[]
C1333352	[16]
C1333355	[4, 9]
C1333356	[7]
C1333357	[12, 17]
C1333358	[10]
C1333359	[0, 4, 11]
C1333360	[1, 9, 13]
C1333361	[]
C1333362	[7, 11, 23]
C1333363	[]
C1333365	[7, 9]
C1333366	[]
C1333367	[13]
C1333368	[2, 13, 20]
C1333398	[]
C1333402	[0]
C1333403	[]
C1333471	[]
C1333497	[]
C1333522	[7, 8, 16]
C1333523	[2, 4, 8, 13, 15]
C1333524	[1, 6, 8]
C1333525	[7, 8]
C1333526	[7, 9]
C1333527	[1, 6, 11, 12]
C1333528	[3, 11]
C1333529	[]
C1333530	[7, 12]
C1333532	[3, 6, 14, 21]
C1333533	[7, 21, 28]
C1333535	[7, 9]
C1333536	[17, 22, 27]
C1333537	[6, 8]
C1333538	[2, 7, 9]
C1333539	[3, 11, 14]
C1333540	[7, 10]
C1333541	[15]
C1333542	[7, 14, 23, 31]
C1333543	[8, 18]
C1333544	[12]
C1333547	[9]
C1333548	[8]
C1333565	[]
C1333566	[]
C1333567	[10]
C1333568	[7, 18]
C1333569	[19]
C1333570	[8, 13]
C1333571	[0, 1, 6]
C1333572	[4, 13, 20]
C1333573	[5, 11, 20]
C1333574	[3, 13]
C1333576	[]
C1333577	[1, 6]
C1333578	[2, 11]
C1333579	[]
C1333581	[7, 18]
C1333583	[20]
C1333584	[15]
C1333585	[]
C1333586	[6, 12, 17]
C1333587	[3, 14]
C1333588	[14]
C1333589	[18]
C1333609	[]
