C0023002	['EQ', 'FN', 'EQ', 'PEP', 'PT', 'SCN']
C0023093	['ET', 'PT', 'SCN', 'FN', 'EQ', 'LG', 'LPDN', 'LPN', 'MH', 'PT', 'PT', 'PT', 'SY']
C0023104	['FN', 'PEP', 'PT', 'PM', 'ET', 'ET', 'ET', 'PM', 'SY', 'ET', 'ET', 'SY', 'PM', 'SY']
C0023336	['MH', 'ET', 'EQ', 'ET', 'PM', 'ET', 'ET', 'SCN', 'PM']
C0023500	['PM', 'PEP', 'PM', 'PM']
C0024026	['FN', 'PEP', 'PT', 'SCN', 'PM']
C0024107	['FN', 'CN', 'ET', 'LPDN', 'LPN', 'MH', 'PT', 'PT', 'SCN', 'ET', 'ET', 'SY']
C0024267	['SY', 'ET', 'PM', 'ET', 'AB', 'ET', 'SY', 'SCN', 'PT', 'FN', 'EQ', 'EQ', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PM']
C0024308	['ET', 'PM', 'PM', 'PEP', 'PM', 'PM', 'PM']
C0024662	['ET', 'ET', 'ET', 'MH', 'ET', 'ET', 'ET', 'SY', 'PT', 'SY', 'FN', 'EQ', 'EQ', 'EQ', 'ET', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'SCN', 'EQ', 'PTGB', 'EQ']
C0024787	['PM', 'ET', 'FN', 'EQ', 'PEP', 'PN', 'PT', 'SCN', 'SY', 'EQ', 'LPDN', 'LPN', 'PT', 'PT', 'SY']
C0024794	['ET', 'PM', 'SCN', 'FN', 'EQ', 'ET', 'PT', 'EQ', 'ET', 'MH', 'PN', 'ET', 'CMN', 'EQ', 'EQ', 'ET', 'SY', 'EQ', 'EQ', 'EQ', 'EQ', 'EQ', 'ET', 'EQ', 'EQ', 'SY', 'CN', 'LPDN', 'LPN', 'EQ', 'LPDN', 'LPN', 'ET', 'PM', 'PM', 'PM']
