C0028581	[0, 3, 4, 5, 14, 15, 16, 18, 19, 20, 9, 11, 12, 13, 17]
C0028584	[0, 1, 3, 4, 7, 8, 14, 15, 21, 9, 12, 13, 18, 19]
C0028587	[4, 5, 10, 13, 14, 7, 8, 9, 11]
C0028609	[1, 2, 6, 7, 10, 11, 12, 13, 14, 15, 16, 0, 8]
C0028875	[0, 6, 2, 5, 7, 8]
C0028876	[0, 1, 2, 4, 3]
C0028944	[3, 9, 16, 7, 8, 10, 11, 20, 21]
C0029045	[3, 9, 10, 12, 17, 4, 8, 11]
C0029048	[0, 1]
C0029219	[5, 12, 13, 0, 2, 14]
C0029330	[8]
C0029418	[4, 13, 6, 10, 15, 16]
C0029431	[2, 9, 4, 8, 11, 12]
C0029432	[2, 9, 10, 0, 7, 8, 11, 13]
C0029974	[1, 7, 9, 21, 28, 29, 36, 38, 0, 6, 10, 12, 15, 19, 22, 23, 34, 35]
C0030280	[8, 10, 11, 12, 15, 16, 19, 21, 22, 25, 27, 30, 6, 24, 28]
C0030281	[0, 1, 9, 10, 11, 12, 15, 16, 19, 22, 23, 26, 29, 33, 7, 8, 27, 28, 30, 31]
C0030559	[1, 2, 4, 5, 7, 10, 13, 16, 25, 27, 11, 21, 24]
C0031307	[2, 4, 5, 12, 17, 21, 1, 9, 11, 14, 15, 19, 20]
C0031309	[3, 7, 4, 6]
C0031310	[3, 9, 10, 7, 8]
C0031760	[0, 1, 2, 5, 8, 3, 4, 6, 7, 10, 11]
C0031921	[0, 1, 2, 3, 4, 5, 8, 11, 12, 16, 17, 20, 26, 10, 15, 19, 25]
C0032112	[1, 3, 8, 18, 19, 29, 34, 0, 11, 13, 14, 20, 22, 23, 31, 38, 40, 43]
C0032592	[2, 5, 6, 8, 12, 4, 7, 11]
C0033416	[0, 1, 2, 4, 6, 14, 15, 10, 16]
C0033731	[2, 6, 3, 4, 7]
C0033827	[2, 4, 1, 5, 6]
C0034143	[0, 1, 2, 3, 6, 7, 9, 16, 21, 23, 26, 27, 4, 5, 10, 11, 13, 17, 20, 22]
C0034149	[1, 2, 3, 4]
C0034837	[0, 1, 5, 6, 8, 10, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 30, 3, 9, 11, 28, 29, 31]
C0034850	[1, 7, 9, 10, 4, 6, 8]
C0034964	[3]
C0035286	[7, 17, 18, 5, 9, 13, 22, 23]
C0035316	[0, 1, 3, 5, 6, 11, 7, 8, 9, 12, 13, 15, 17]
C0035553	[6, 15, 16, 1, 4, 13, 14, 17, 18]
C0035798	[2, 3, 4, 7, 11, 6]
C0036208	[4, 5, 13, 7, 12]
C0036225	[0, 7, 4, 6, 8]
C0036226	[1, 2, 4, 13, 8, 10, 12]
C0036387	[0, 1, 9, 16, 17, 12, 14, 15, 18, 19]
C0036770	[0, 1, 2, 9, 14, 5, 7, 8, 10, 11, 12]
C0036867	[1, 12, 14, 15, 17, 23]
C0036869	[0, 2, 3, 4, 8, 16, 12, 14, 15, 17, 18, 19]
C0037844	[11, 12, 14, 17, 15]
